uid,date,n_convo,minutes_convo,n_unlocks,n_scans,n_bt_unique,sleep,stress,deadline_day,weekday,weekend
1,2013-04-18,38,0,7,128,0,8,NA,1,Thu,0
1,2013-04-19,40,0,4,0,0,7,4,1,Fri,0
1,2013-04-20,42,0,2,10,0,NA,4,1,Sat,1
1,2013-04-21,60,0,5,60,0,7,NA,1,Sun,1
1,2013-04-22,52,0,4,259,0,7,NA,1,Mon,0
1,2013-04-23,24,0,6,122,0,7,NA,1,Tue,0
1,2013-04-24,30,0,3,54,0,NA,NA,1,Wed,0
1,2013-04-25,78,0,4,152,0,NA,NA,1,Thu,0
1,2013-04-26,61,0,4,230,0,NA,1,1,Fri,0
1,2013-04-27,77,0,4,107,0,NA,NA,1,Sat,1
1,2013-04-28,35,0,3,78,0,NA,2,1,Sun,1
1,2013-04-29,4,0,5,119,0,NA,3,1,Mon,0
1,2013-04-30,0,0,3,58,0,NA,2,1,Tue,0
1,2013-05-01,0,0,3,70,0,NA,NA,1,Wed,0
1,2013-05-02,2,0,4,71,0,NA,NA,1,Thu,0
1,2013-05-03,55,0,6,39,0,NA,NA,1,Fri,0
1,2013-05-04,33,0,2,17,0,NA,NA,1,Sat,1
1,2013-05-05,0,0,0,0,0,NA,NA,1,Sun,1
1,2013-05-06,0,0,0,0,0,NA,NA,1,Mon,0
1,2013-05-07,5,0,0,1,0,NA,1,1,Tue,0
1,2013-05-08,39,0,6,61,0,NA,NA,1,Wed,0
1,2013-05-09,62,0,1,82,0,NA,NA,1,Thu,0
1,2013-05-10,46,0,2,73,0,NA,NA,1,Fri,0
1,2013-05-11,72,0,0,62,0,NA,NA,1,Sat,1
1,2013-05-12,33,0,0,19,0,NA,NA,1,Sun,1
1,2013-05-13,47,0,2,71,0,NA,NA,1,Mon,0
1,2013-05-14,30,0,2,46,0,NA,NA,1,Tue,0
1,2013-05-15,25,0,4,82,0,NA,NA,1,Wed,0
1,2013-05-16,92,0,2,53,0,NA,NA,1,Thu,0
1,2013-05-17,46,0,3,42,0,NA,NA,1,Fri,0
1,2013-05-18,64,0,2,69,0,NA,NA,1,Sat,1
1,2013-05-19,2,0,3,115,0,NA,NA,1,Sun,1
1,2013-05-20,0,0,2,48,0,NA,NA,1,Mon,0
1,2013-05-21,0,0,2,99,0,NA,NA,1,Tue,0
1,2013-05-22,0,0,1,32,0,NA,NA,1,Wed,0
1,2013-05-23,0,0,5,52,0,NA,NA,1,Thu,0
1,2013-05-24,0,0,0,36,0,NA,NA,1,Fri,0
1,2013-05-25,26,0,0,32,0,NA,NA,1,Sat,1
1,2013-05-26,38,0,3,40,0,NA,NA,1,Sun,1
1,2013-05-27,30,0,3,177,0,NA,NA,1,Mon,0
1,2013-05-28,54,0,6,1827,0,NA,NA,1,Tue,0
1,2013-05-29,19,0,2,791,0,NA,NA,1,Wed,0
1,2013-05-30,0,0,0,0,0,NA,NA,1,Thu,0
1,2013-05-31,0,0,0,0,0,NA,NA,1,Fri,0
1,2013-06-01,0,0,0,0,0,NA,NA,1,Sat,1
1,2013-06-02,0,0,0,0,0,NA,NA,1,Sun,1
1,2013-06-03,0,0,0,0,0,NA,NA,1,Mon,0
1,2013-06-04,0,0,0,0,0,NA,NA,1,Tue,0
1,2013-06-05,0,0,0,0,0,NA,NA,1,Wed,0
1,2013-06-06,0,0,0,0,0,NA,NA,1,Thu,0
1,2013-06-07,0,0,0,0,0,NA,NA,1,Fri,0
1,2013-06-08,0,0,0,0,0,NA,NA,1,Sat,1
1,2013-06-09,0,0,0,0,0,NA,NA,1,Sun,1
1,2013-06-10,0,0,0,0,0,NA,NA,1,Mon,0
1,2013-06-11,0,0,0,0,0,NA,NA,1,Tue,0
1,2013-06-12,0,0,0,0,0,NA,NA,1,Wed,0
1,2013-06-13,0,0,0,0,0,NA,NA,1,Thu,0
1,2013-06-14,0,0,0,0,0,NA,NA,1,Fri,0
1,2013-06-15,0,0,0,0,0,NA,NA,1,Sat,1
1,2013-06-16,0,0,0,0,0,NA,NA,1,Sun,1
1,2013-06-17,0,0,0,0,0,NA,NA,1,Mon,0
1,2013-06-18,0,0,0,0,0,NA,NA,1,Tue,0
1,2013-06-19,0,0,0,0,0,NA,NA,1,Wed,0
1,2013-06-20,0,0,0,0,0,NA,NA,1,Thu,0
1,2013-06-21,0,0,0,0,0,NA,NA,1,Fri,0
1,2013-06-22,0,0,0,0,0,NA,NA,1,Sat,1
1,2013-06-23,0,0,0,0,0,NA,NA,1,Sun,1
1,2013-06-24,0,0,0,0,0,NA,NA,1,Mon,0
1,2013-06-25,0,0,0,0,0,NA,NA,1,Tue,0
1,2013-06-26,0,0,0,0,0,NA,NA,1,Wed,0
1,2013-06-27,0,0,0,0,0,NA,NA,1,Thu,0
1,2013-06-28,0,0,0,0,0,NA,NA,1,Fri,0
1,2013-06-29,0,0,0,0,0,NA,NA,1,Sat,1
1,2013-06-30,0,0,0,0,0,NA,NA,1,Sun,1
1,2013-07-01,0,0,0,0,0,NA,NA,1,Mon,0
1,2013-07-02,0,0,0,0,0,NA,NA,1,Tue,0
1,2013-07-03,0,0,0,0,0,NA,NA,1,Wed,0
1,2013-07-04,0,0,0,0,0,NA,NA,1,Thu,0
1,2013-07-05,0,0,0,0,0,NA,NA,1,Fri,0
1,2013-07-06,0,0,0,0,0,NA,NA,1,Sat,1
1,2013-07-07,0,0,0,0,0,NA,NA,1,Sun,1
1,2013-07-08,0,0,0,0,0,NA,NA,1,Mon,0
1,2013-07-09,0,0,0,0,0,NA,NA,1,Tue,0
1,2013-07-10,0,0,0,0,0,NA,NA,1,Wed,0
1,2013-07-11,0,0,0,0,0,NA,NA,1,Thu,0
1,2013-07-12,0,0,0,0,0,NA,NA,1,Fri,0
1,2013-07-13,0,0,0,0,0,NA,NA,1,Sat,1
1,2013-07-14,0,0,0,0,0,NA,NA,1,Sun,1
1,2013-07-15,0,0,0,0,0,NA,NA,1,Mon,0
1,2013-07-16,0,0,0,0,0,NA,NA,1,Tue,0
1,2013-07-17,0,0,0,0,0,NA,NA,1,Wed,0
1,2013-07-18,0,0,0,0,0,NA,NA,1,Thu,0
1,2013-07-19,0,0,0,0,0,NA,NA,1,Fri,0
1,2013-07-20,0,0,0,0,0,NA,NA,1,Sat,1
1,2013-07-21,0,0,0,0,0,NA,NA,1,Sun,1
1,2013-07-22,0,0,0,0,0,NA,NA,1,Mon,0
1,2013-07-23,0,0,0,0,0,NA,NA,1,Tue,0
1,2013-07-24,0,0,0,0,0,NA,NA,1,Wed,0
1,2013-07-25,0,0,0,0,0,NA,NA,1,Thu,0
1,2013-07-26,0,0,0,0,0,NA,NA,1,Fri,0
1,2013-07-27,0,0,0,0,0,NA,NA,1,Sat,1
1,2013-07-28,0,0,0,0,0,NA,NA,1,Sun,1
1,2013-07-29,0,0,0,0,0,NA,NA,1,Mon,0
1,2013-07-30,0,0,0,0,0,NA,NA,1,Tue,0
1,2013-07-31,0,0,0,0,0,NA,NA,1,Wed,0
1,2013-08-01,0,0,0,0,0,NA,NA,1,Thu,0
1,2013-08-02,0,0,0,0,0,NA,NA,1,Fri,0
1,2013-08-03,0,0,0,0,0,NA,NA,1,Sat,1
1,2013-08-04,0,0,0,0,0,NA,NA,1,Sun,1
1,2013-08-05,0,0,0,0,0,NA,NA,1,Mon,0
1,2013-08-06,0,0,0,0,0,NA,NA,1,Tue,0
1,2013-08-07,0,0,0,0,0,NA,NA,1,Wed,0
1,2013-08-08,0,0,0,0,0,NA,NA,1,Thu,0
1,2013-08-09,0,0,0,0,0,NA,NA,1,Fri,0
1,2013-08-10,0,0,0,0,0,NA,NA,1,Sat,1
1,2013-08-11,0,0,0,0,0,NA,NA,1,Sun,1
1,2013-08-12,0,0,0,0,0,NA,NA,1,Mon,0
1,2013-08-13,0,0,0,0,0,NA,NA,1,Tue,0
1,2013-08-14,0,0,0,0,0,NA,NA,1,Wed,0
1,2013-08-15,0,0,0,0,0,NA,NA,1,Thu,0
1,2013-08-16,0,0,0,0,0,NA,NA,1,Fri,0
1,2013-08-17,0,0,0,0,0,NA,NA,1,Sat,1
1,2013-08-18,0,0,0,0,0,NA,NA,1,Sun,1
1,2013-08-19,0,0,0,0,0,NA,NA,1,Mon,0
10,2013-03-24,0,0,0,0,0,NA,NA,0,Sun,1
10,2013-03-27,37,0,6,179,0,7,NA,1,Wed,0
10,2013-03-28,36,0,4,150,0,NA,2,1,Thu,0
10,2013-03-29,41,0,7,255,0,NA,NA,1,Fri,0
10,2013-03-30,20,0,5,134,0,7.5,2,1,Sat,1
10,2013-03-31,18,0,7,119,0,8,2.8,1,Sun,1
10,2013-04-01,34,0,7,344,0,7,2.5,1,Mon,0
10,2013-04-02,49,0,5,231,0,7,2.5,1,Tue,0
10,2013-04-03,32,0,10,252,0,8,3.5,1,Wed,0
10,2013-04-04,37,0,4,109,0,7,1.75,1,Thu,0
10,2013-04-05,51,0,8,192,0,7,1.25,1,Fri,0
10,2013-04-06,39,0,6,218,0,8,3.5,1,Sat,1
10,2013-04-07,24,0,6,178,0,7,2,1,Sun,1
10,2013-04-08,27,0,6,219,0,8,3.5,1,Mon,0
10,2013-04-09,41,0,4,279,0,8,2.6666666666666665,1,Tue,0
10,2013-04-10,52,0,8,175,0,8,2.5,1,Wed,0
10,2013-04-11,41,0,4,317,0,8,1.8,1,Thu,0
10,2013-04-12,22,0,7,281,0,7,2.5,1,Fri,0
10,2013-04-13,28,0,3,185,0,6,1,1,Sat,1
10,2013-04-14,34,0,4,379,0,7,NA,1,Sun,1
10,2013-04-15,41,0,5,432,0,8,1.5,1,Mon,0
10,2013-04-16,46,0,3,344,0,8,1,1,Tue,0
10,2013-04-17,21,0,3,363,0,8,1.6666666666666667,1,Wed,0
10,2013-04-18,26,0,4,483,0,8,2.5,1,Thu,0
10,2013-04-19,29,0,3,294,0,NA,NA,1,Fri,0
10,2013-04-20,41,0,4,215,0,NA,2.5,1,Sat,1
10,2013-04-21,26,0,6,172,0,8,4,1,Sun,1
10,2013-04-22,34,0,6,306,0,8,4,1,Mon,0
10,2013-04-23,46,0,6,351,0,6,1.6666666666666667,1,Tue,0
10,2013-04-24,45,0,7,326,0,NA,2.5,1,Wed,0
10,2013-04-25,26,0,5,349,0,NA,2.5,1,Thu,0
10,2013-04-26,48,0,5,367,0,8,1.5,1,Fri,0
10,2013-04-27,31,0,1,169,0,8,4,1,Sat,1
10,2013-04-28,27,0,2,215,0,NA,1,1,Sun,1
10,2013-04-29,38,0,3,247,0,8,3.5,1,Mon,0
10,2013-04-30,23,0,3,160,0,7,2.5,1,Tue,0
10,2013-05-01,14,0,7,326,0,8,NA,1,Wed,0
10,2013-05-02,41,0,5,118,0,8,1,1,Thu,0
10,2013-05-03,42,0,5,344,0,7,1,1,Fri,0
10,2013-05-04,34,0,3,181,0,NA,NA,1,Sat,1
10,2013-05-05,21,0,3,65,0,7,NA,1,Sun,1
10,2013-05-06,33,0,5,209,0,8,NA,1,Mon,0
10,2013-05-07,50,0,3,214,0,5,1,1,Tue,0
10,2013-05-08,24,0,5,315,0,10,1,1,Wed,0
10,2013-05-09,40,0,4,278,0,NA,1,1,Thu,0
10,2013-05-10,34,0,4,396,0,10,NA,1,Fri,0
10,2013-05-11,36,0,2,211,0,10,NA,1,Sat,1
10,2013-05-12,16,0,5,277,0,10,NA,1,Sun,1
10,2013-05-13,44,0,7,346,0,NA,NA,1,Mon,0
10,2013-05-14,19,0,2,188,0,10,NA,1,Tue,0
10,2013-05-15,32,0,5,295,0,NA,3,1,Wed,0
10,2013-05-16,19,0,5,270,0,10,NA,1,Thu,0
10,2013-05-17,35,0,5,153,0,NA,1,1,Fri,0
10,2013-05-18,21,0,3,60,0,NA,2,1,Sat,1
10,2013-05-19,30,0,4,170,0,NA,NA,1,Sun,1
10,2013-05-20,35,0,5,437,0,NA,NA,1,Mon,0
10,2013-05-21,38,0,3,312,0,10,NA,1,Tue,0
10,2013-05-22,57,0,2,277,0,NA,NA,1,Wed,0
10,2013-05-23,45,0,4,254,0,NA,4,1,Thu,0
10,2013-05-24,72,0,2,179,0,NA,NA,1,Fri,0
10,2013-05-25,45,0,4,114,0,NA,NA,1,Sat,1
10,2013-05-26,19,0,2,179,0,NA,NA,1,Sun,1
10,2013-05-27,18,0,4,357,0,NA,NA,1,Mon,0
10,2013-05-28,45,0,6,369,0,NA,NA,1,Tue,0
10,2013-05-29,44,0,4,0,0,7,NA,1,Wed,0
10,2013-05-30,32,0,3,112,0,NA,NA,1,Thu,0
10,2013-05-31,14,0,1,79,0,NA,NA,1,Fri,0
10,2013-06-01,0,0,2,6,0,NA,NA,1,Sat,1
10,2013-06-02,0,0,0,0,0,NA,NA,1,Sun,1
10,2013-06-03,0,0,0,0,0,NA,NA,1,Mon,0
10,2013-06-04,0,0,0,0,0,NA,NA,1,Tue,0
10,2013-06-05,0,0,0,0,0,NA,NA,1,Wed,0
10,2013-06-06,0,0,0,0,0,NA,NA,1,Thu,0
10,2013-06-07,0,0,0,0,0,NA,NA,1,Fri,0
10,2013-06-08,0,0,0,0,0,NA,NA,1,Sat,1
10,2013-06-09,0,0,0,0,0,NA,NA,1,Sun,1
10,2013-06-10,0,0,0,0,0,NA,NA,1,Mon,0
10,2013-06-11,0,0,0,0,0,NA,NA,1,Tue,0
10,2013-06-12,0,0,0,0,0,NA,NA,1,Wed,0
10,2013-06-13,0,0,0,0,0,NA,NA,1,Thu,0
10,2013-06-14,0,0,0,0,0,NA,NA,1,Fri,0
10,2013-06-15,0,0,0,0,0,NA,NA,1,Sat,1
10,2013-06-16,0,0,0,0,0,NA,NA,1,Sun,1
10,2013-06-17,0,0,0,0,0,NA,NA,1,Mon,0
10,2013-06-18,0,0,0,0,0,NA,NA,1,Tue,0
10,2013-06-19,0,0,0,0,0,NA,NA,1,Wed,0
10,2013-06-20,0,0,0,0,0,NA,NA,1,Thu,0
10,2013-06-21,0,0,0,0,0,NA,NA,1,Fri,0
10,2013-06-22,0,0,0,0,0,NA,NA,1,Sat,1
10,2013-06-23,0,0,0,0,0,NA,NA,1,Sun,1
10,2013-06-24,0,0,0,0,0,NA,NA,1,Mon,0
10,2013-06-25,0,0,0,0,0,NA,NA,1,Tue,0
10,2013-06-26,0,0,0,0,0,NA,NA,1,Wed,0
10,2013-06-27,0,0,0,0,0,NA,NA,1,Thu,0
10,2013-06-28,0,0,0,0,0,NA,NA,1,Fri,0
10,2013-06-29,0,0,0,0,0,NA,NA,1,Sat,1
10,2013-06-30,0,0,0,0,0,NA,NA,1,Sun,1
10,2013-07-01,0,0,0,0,0,NA,NA,1,Mon,0
10,2013-07-02,0,0,0,0,0,NA,NA,1,Tue,0
10,2013-07-03,0,0,0,0,0,NA,NA,1,Wed,0
10,2013-07-04,0,0,0,0,0,NA,NA,1,Thu,0
10,2013-07-05,0,0,0,0,0,NA,NA,1,Fri,0
10,2013-07-06,0,0,0,0,0,NA,NA,1,Sat,1
10,2013-07-07,0,0,0,0,0,NA,NA,1,Sun,1
10,2013-07-08,0,0,0,0,0,NA,NA,1,Mon,0
10,2013-07-09,0,0,0,0,0,NA,NA,1,Tue,0
10,2013-07-10,0,0,0,0,0,NA,NA,1,Wed,0
10,2013-07-11,0,0,0,0,0,NA,NA,1,Thu,0
10,2013-07-12,0,0,0,0,0,NA,NA,1,Fri,0
10,2013-07-13,0,0,0,0,0,NA,NA,1,Sat,1
10,2013-07-14,0,0,0,0,0,NA,NA,1,Sun,1
10,2013-07-15,0,0,0,0,0,NA,NA,1,Mon,0
10,2013-07-16,0,0,0,0,0,NA,NA,1,Tue,0
10,2013-07-17,0,0,0,0,0,NA,NA,1,Wed,0
10,2013-07-18,0,0,0,0,0,NA,NA,1,Thu,0
10,2013-07-19,0,0,0,0,0,NA,NA,1,Fri,0
10,2013-07-20,0,0,0,0,0,NA,NA,1,Sat,1
10,2013-07-21,0,0,0,0,0,NA,NA,1,Sun,1
10,2013-07-22,0,0,0,0,0,NA,NA,1,Mon,0
10,2013-07-23,0,0,0,0,0,NA,NA,1,Tue,0
10,2013-07-24,0,0,0,0,0,NA,NA,1,Wed,0
10,2013-07-25,0,0,0,0,0,NA,NA,1,Thu,0
10,2013-07-26,0,0,0,0,0,NA,NA,1,Fri,0
10,2013-07-27,0,0,0,0,0,NA,NA,1,Sat,1
10,2013-07-28,0,0,0,0,0,NA,NA,1,Sun,1
10,2013-07-29,0,0,0,0,0,NA,NA,1,Mon,0
10,2013-07-30,0,0,0,0,0,NA,NA,1,Tue,0
10,2013-07-31,0,0,0,0,0,NA,NA,1,Wed,0
10,2013-08-01,0,0,0,0,0,NA,NA,1,Thu,0
10,2013-08-02,0,0,0,0,0,NA,NA,1,Fri,0
10,2013-08-03,0,0,0,0,0,NA,NA,1,Sat,1
10,2013-08-04,0,0,0,0,0,NA,NA,1,Sun,1
10,2013-08-05,0,0,0,0,0,NA,NA,1,Mon,0
10,2013-08-06,0,0,0,0,0,NA,NA,1,Tue,0
10,2013-08-07,0,0,0,0,0,NA,NA,1,Wed,0
10,2013-08-08,0,0,0,0,0,NA,NA,1,Thu,0
10,2013-08-09,0,0,0,0,0,NA,NA,1,Fri,0
10,2013-08-10,0,0,0,0,0,NA,NA,1,Sat,1
10,2013-08-11,0,0,0,0,0,NA,NA,1,Sun,1
10,2013-08-12,0,0,0,0,0,NA,NA,1,Mon,0
10,2013-08-13,0,0,0,0,0,NA,NA,1,Tue,0
10,2013-08-14,0,0,0,0,0,NA,NA,1,Wed,0
10,2013-08-15,0,0,0,0,0,NA,NA,1,Thu,0
10,2013-08-16,0,0,0,0,0,NA,NA,1,Fri,0
10,2013-08-17,0,0,0,0,0,NA,NA,1,Sat,1
10,2013-08-18,0,0,0,0,0,NA,NA,1,Sun,1
10,2013-08-19,0,0,0,0,0,NA,NA,1,Mon,0
12,2013-03-24,0,0,0,0,0,NA,NA,0,Sun,1
12,2013-03-27,34,0,8,63,0,6,4,1,Wed,0
12,2013-03-28,32,0,6,31,0,8,3.5,1,Thu,0
12,2013-03-29,37,0,3,85,0,8,1,1,Fri,0
12,2013-03-30,27,0,4,17,0,7,3,1,Sat,1
12,2013-03-31,43,0,4,8,0,9,NA,1,Sun,1
12,2013-04-01,31,0,6,113,0,7,4,1,Mon,0
12,2013-04-02,17,0,4,23,0,8,NA,1,Tue,0
12,2013-04-03,37,0,7,69,0,7.5,2,1,Wed,0
12,2013-04-04,27,0,7,51,0,7,3,1,Thu,0
12,2013-04-05,31,0,1,92,0,8,4,1,Fri,0
12,2013-04-06,33,0,6,12,0,NA,3,1,Sat,1
12,2013-04-07,31,0,5,57,0,NA,NA,1,Sun,1
12,2013-04-08,18,0,2,13,0,5,NA,1,Mon,0
12,2013-04-09,30,0,5,55,0,NA,1,1,Tue,0
12,2013-04-10,21,0,6,97,0,6.5,2.5,1,Wed,0
12,2013-04-11,9,0,6,24,0,8,1,1,Thu,0
12,2013-04-12,27,0,5,186,0,7,NA,1,Fri,0
12,2013-04-13,16,0,4,14,0,9,3,1,Sat,1
12,2013-04-14,7,0,1,4,0,8,NA,1,Sun,1
12,2013-04-15,24,0,6,177,0,6,1,1,Mon,0
12,2013-04-16,11,0,5,45,0,6,1,1,Tue,0
12,2013-04-17,18,0,5,174,0,NA,NA,1,Wed,0
12,2013-04-18,27,0,7,137,0,NA,NA,1,Thu,0
12,2013-04-19,23,0,8,138,0,NA,5,1,Fri,0
12,2013-04-20,29,0,4,3,0,NA,NA,1,Sat,1
12,2013-04-21,23,0,8,1,0,NA,NA,1,Sun,1
12,2013-04-22,16,0,6,178,0,NA,NA,1,Mon,0
12,2013-04-23,25,0,4,50,0,NA,NA,1,Tue,0
12,2013-04-24,21,0,4,55,0,NA,NA,1,Wed,0
12,2013-04-25,21,0,4,212,0,NA,1,1,Thu,0
12,2013-04-26,26,0,7,80,0,NA,NA,1,Fri,0
12,2013-04-27,22,0,3,7,0,NA,NA,1,Sat,1
12,2013-04-28,26,0,3,2,0,NA,NA,1,Sun,1
12,2013-04-29,27,0,7,130,0,NA,3,1,Mon,0
12,2013-04-30,19,0,3,15,0,7,3,1,Tue,0
12,2013-05-01,24,0,9,124,0,NA,NA,1,Wed,0
12,2013-05-02,23,0,8,66,0,NA,NA,1,Thu,0
12,2013-05-03,22,0,6,142,0,8,NA,1,Fri,0
12,2013-05-04,12,0,3,15,0,NA,NA,1,Sat,1
12,2013-05-05,11,0,3,21,0,NA,NA,1,Sun,1
12,2013-05-06,30,0,4,298,0,NA,NA,1,Mon,0
12,2013-05-07,22,0,4,38,0,NA,1,1,Tue,0
12,2013-05-08,33,0,8,352,0,NA,1,1,Wed,0
12,2013-05-09,26,0,4,73,0,NA,NA,1,Thu,0
12,2013-05-10,18,0,5,253,0,NA,NA,1,Fri,0
12,2013-05-11,32,0,6,8,0,NA,NA,1,Sat,1
12,2013-05-12,37,0,3,13,0,NA,NA,1,Sun,1
12,2013-05-13,43,0,7,183,0,NA,NA,1,Mon,0
12,2013-05-14,41,0,3,151,0,NA,NA,1,Tue,0
12,2013-05-15,21,0,8,154,0,NA,NA,1,Wed,0
12,2013-05-16,51,0,5,122,0,11,NA,1,Thu,0
12,2013-05-17,48,0,8,148,0,NA,NA,1,Fri,0
12,2013-05-18,22,0,8,13,0,NA,NA,1,Sat,1
12,2013-05-19,35,0,5,145,0,NA,NA,1,Sun,1
